comment_id,comment,published_at,source,language
24,Thanks for the video tutorial,2024-10-23 10:51:22+00:00,,
23,How to cancel my send money to Philippines?,2024-12-31 07:07:47+00:00,,
22,Under review problem,2025-03-08 06:49:48+00:00,,
21,Why there is showing invalid input,2025-04-07 12:38:54+00:00,,
18,Verification call not received,2025-06-20 06:31:35+00:00,,
17,International transfer option no showing whats the problem?,2025-07-02 13:42:13+00:00,,
15,Bhai first time money trsfar me Kitna time lagta he,2025-09-01 05:47:22+00:00,,
13,International transfer in progress,2025-09-02 22:58:40+00:00,,
12,It doesn&#39;t work. Just notification warning and it wont proceed.,2025-09-03 09:13:24+00:00,,
11,What problem no showing international transfer?,2025-09-10 02:22:03+00:00,,
10,Bhai Kitna time lgta hai transfer hone me,2025-10-20 12:23:15+00:00,,
9,Kya Nepal se india bej sakte h pase,2025-11-14 15:22:24+00:00,,
8,Why international pay 98 ksa,2025-12-02 10:20:29+00:00,,
7,What if the beneficiary has a single name on the account. As Barq is accepting double name as a Full Name. <br>I mean single word name not double. What to do in that case?,2025-12-10 16:47:37+00:00,,
6,Why my verification is pending,2025-12-27 23:35:43+00:00,,
5,My beneficiary was rejected. And I can&#39;t send money. What will I do?,2026-01-10 00:57:16+00:00,,
4,"খুব সহজ একটা এপস ৫ মিনিটে দেশে টাকা পাঠালাম🥰🥰আজকেই ওপেন করলাম আজকে প্রথম টানজিট করলাম,",2026-01-10 16:00:17+00:00,,
2,Am send money india. Not go why,2026-04-01 09:35:05+00:00,,
1,Barq account is its not same another bank very easy what happen my money im transfern to my gcash after now its not to come why always in process i hate barq bank its not good,2026-04-01 18:44:21+00:00,,
